dept,course,instructor,abbrev_instructor,term,year,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,num_invited,num_responded
HIS,HIS444H1,David Sclar,Sclar D,Winter,2015,3.8,3.8,4.2,3.4,3.8,3.8,4.4,3.2,12,6
HIS,HIS466H1,Cecilia Morgan,Morgan C,Winter,2015,4.2,4.5,4.8,4.7,4.5,4.4,4.8,3.4,29,12
HIS,HIS484H1,Ben Bradley,Bradley B,Winter,2015,4.3,4.5,5,4.5,4.5,4.5,4.8,3.6,14,8
HIS,HIS485H1,Yiwen Wang,Wang Y,Winter,2015,4.3,4.7,4.7,4.5,4.5,4.7,4.7,3.7,15,6
HIS,HIS495Y1,Matthew Price,Price M,Winter,2015,4.4,4.4,4,4,4,4.2,4.8,3.6,9,5
HIS,HIS496H1,Alexandra Gerstner,Gerstner A,Winter,2015,4.7,4.9,4.9,4.7,4.9,4.7,4.7,3.6,12,7
HIS,HIS496H1,Peter Jones,Jones P,Winter,2015,4.5,4.7,4.8,4.7,4.8,4.7,4.8,3.3,13,6
HIS,HIS496H1,Luis Van Isschot,Van Isschot L,Winter,2015,5,5,4.8,5,4.8,4.8,5,3.5,14,7
JHA,JHA394H1,Takashi Fujitani,Fujitani T,Winter,2015,4.2,4.2,4.2,4.2,4.5,3.8,4.3,3.4,60,22
HIS,HIS208Y1,Mark Meyerson,Meyerson M,Fall,2015,4,4.1,3.7,3.9,3.9,3.7,3.7,3.1,56,19
HIS,HIS241H1,Anthony Cantor,Cantor A,Fall,2015,4.3,4.3,4.4,4.2,4.3,4.1,4.6,3.4,170,60
HIS,HIS250Y1,Alex Rowlson,Rowlson A,Fall,2015,4.2,4.6,4,3.6,3.4,3.8,4.1,2.9,110,31
HIS,HIS263Y1,Laurie Bertram,Bertram L,Fall,2015,3.9,4.3,4.5,3.5,3.4,3.8,4.3,3.2,200,53
HIS,HIS291H1,Jason Dyck,Dyck J,Fall,2015,4.2,4.5,4.6,4.1,4.1,4.1,4.7,3.6,63,30
HIS,HIS309H1,Sarah Loose,Loose S,Fall,2015,4.1,4.4,4.5,4.2,4.3,3.9,4.2,3.8,38,12
HIS,HIS311Y1,Robert Bothwell,Bothwell R,Fall,2015,4,4.3,4.4,3.9,4,3.9,4.6,3.4,121,29
HIS,HIS312H1,Ian Radforth,Radforth I,Fall,2015,3.7,4,3.8,3.7,3.7,3.7,3.8,3,122,52
HIS,HIS317H1,Jennifer Jenkins,Jenkins J,Fall,2015,4.3,4.4,4.2,4,4.1,4,4.3,3.3,98,44
HIS,HIS320H1,Nicholas Everett,Everett N,Fall,2015,4.1,4.1,4.1,3.4,3.1,3.6,4.2,3,36,15
HIS,HIS325H1,Alison Smith,Smith A,Fall,2015,4.5,4.7,4.8,4.2,4.3,4.5,4.8,3.2,37,17
HIS,HIS326H1,Yiwen Wang,Wang Y,Fall,2015,3.5,3.5,3.7,3.5,3.8,3.7,4,3.2,25,6
HIS,HIS328H1,Yiwen Wang,Wang Y,Fall,2015,3.4,3.4,3.6,3,2.9,3.1,3.8,3.5,41,16
HIS,HIS330H1,John Mersereau,Mersereau J,Fall,2015,4.5,4.8,4.8,4.6,4.6,4.6,4.6,3.1,23,9
HIS,HIS335H1,Thomas Lahusen,Lahusen T,Fall,2015,3.9,4.1,4.1,3.9,4,3.7,4.4,3.1,24,11
HIS,HIS337H1,Jennifer Mori,Mori J,Fall,2015,3.2,3.8,2.7,3.4,3.3,2.7,2.8,3.7,35,12
HIS,HIS338H1,Doris Bergen,Bergen D,Fall,2015,4.8,4.7,4.9,4.4,4.4,4.6,5,3.5,89,37
HIS,HIS350H1,Derek Penslar,Penslar D,Fall,2015,4.6,4.4,4.7,4.2,4.3,4.2,4.8,3.5,79,30
HIS,HIS357Y1,Vanessa McCarthy,McCarthy V,Fall,2015,4.3,4.4,4.6,4.4,4.2,4.3,4.6,3.2,38,11
HIS,HIS362H1,Juri Kivimae,Kivimae J,Fall,2015,3.8,4.4,4,4.1,4.1,3.9,4.5,3,22,9
HIS,HIS378H1,Diana Cucuz,Cucuz D,Fall,2015,3.1,3.1,3.6,3.6,3.6,3.3,3.7,3,55,25
HIS,HIS385H1,Chin Lim,Lim C,Fall,2015,3.7,4,3.7,3.6,3.7,3.4,3.4,3.4,102,25
HIS,HIS387H1,Veronique Church-Duplessis,Church-Duplessis V,Fall,2015,4.4,4.3,4.4,3.8,3.6,4.1,4.4,3.3,51,14
HIS,HIS389H1,Luis Van Isschot,Van Isschot L,Fall,2015,4.4,4.6,4.6,4.3,4.4,4.4,4.8,3.7,38,18
HIS,HIS389H1,Laurie Bertram,Bertram L,Fall,2015,4.4,4.4,4.5,4,4,4.1,4.5,3.4,27,14
HIS,HIS389H1,Ryan Hall,Hall R,Fall,2015,4.6,4.7,4.4,4.8,4.7,4.3,4.7,3.4,23,12
HIS,HIS394H1,Nakanyike Musisi,Musisi N,Fall,2015,4.9,4.9,5,4.9,4.9,4.9,5,3,27,14
HIS,HIS401H1,Erin Black,Black E,Fall,2015,4.6,4.4,5,4.6,4.7,4.7,5,3.8,12,9
HIS,HIS404H1,Christopher Dingwall,Dingwall C,Fall,2015,5,4.7,4.6,4.6,4.4,4.7,4.6,3.3,13,7
HIS,HIS404H1,Ronald Pruessen,Pruessen R,Fall,2015,5,5,5,5,5,5,5,3.3,15,7
HIS,HIS423H1,Edward Shorter,Shorter E,Fall,2015,3.3,3.8,3.7,3,3,3.2,3.7,2.3,16,6
HIS,HIS430H1,Ian Radforth,Radforth I,Fall,2015,4.5,4.5,4.8,4.8,4.8,4.7,4.5,3.7,14,6
HIS,HIS444H1,Derek Penslar,Penslar D,Fall,2015,4.6,4.8,4.6,4.6,4.6,4.8,4.8,3.4,12,5
HIS,HIS466H1,Cecilia Morgan,Morgan C,Fall,2015,4.8,5,5,4.8,4.7,4.8,4.9,3.4,17,9
HIS,HIS488H1,Denis Smyth,Smyth D,Fall,2015,4.6,4.4,4.6,4.6,4.2,4.2,4.6,3.4,13,5
HIS,HIS489H1,Edward Shorter,Shorter E,Fall,2015,4,4,4.1,3.9,3.9,3.8,4.6,2.8,18,10
HIS,HIS492H1,Bertie Mandelblatt,Mandelblatt B,Fall,2015,5,5,5,4.7,4.7,5,5,4.5,9,6
