dept,course,instructor,abbrev_instructor
ANT,ANT336H1,Susan Pfeiffer,"Pfeiffer, S."
ANT,ANT348H1,Krista Maxwell,"Maxwell, K."
ANT,ANT351H1,James Stinson,"Stinson, J."
ANT,ANT358H1,Laura Sikstrom,"Sikstrom, L."
ANT,ANT410H1,Anna Patton,"Patton, A."
ANT,ANT411H1,Anna Patton,"Patton, A."
ANT,ANT412H1,Edward Banning,"Banning, E."
ANT,ANT432H1,Jennifer Newton,"Newton, J."
ANT,ANT440H1,Tania Li,"Li, T."
ANT,ANT451H1,Gillian Gillison,"Gillison, G."
ANT,ANT475H1,Valentina Napolitano,"Napolitano, V."
ANT,ANT476H1,Janice Boddy,"Boddy, J."
ANT,ANT486H1,Holly Wardlow,"Wardlow, H."
ARH,ARH305H1,Gary Coupland,"Coupland, G."
ANT,ANT411H1,Edward Swenson,"Swenson, E."
ANT,ANT338H1,T. Viola,"Viola, T."
ANT,ANT485H1,Jacob Nerenberg,"Nerenberg, J."
ANT,ANT347H1,Edward Sammons,"Sammons, E."
ANT,ANT435H1,Laura Sikstrom,"Sikstrom, L."
ANT,ANT253H1,Marcel Danesi,"Danesi, M."
ANT,ANT484H1,Silvia Forni,"Forni, S."
ANT,ANT374H1,Columba Gonzalez,"Gonzalez, C."
ARH,ARH309H1,Justin Jennings,"Jennings, J."
ANT,ANT372H1,Cara Krmpotich,"Krmpotich, C."
ANT,ANT207H1,Tania Li,"Li, T."
ANT,ANT425H1,Hy Luong,"Luong, H."
ANT,ANT329H1,Hy Luong,"Luong, H."
ANT,ANT348H1,Krista Maxwell,"Maxwell, K."
ANT,ANT335Y1,David Begun,"Begun, D."
ANT,ANT431H1,David Begun,"Begun, D."
ANT,ANT334H1,Michelle Cameron,"Cameron, M."
ANT,ANT203Y1,Michelle Cameron,"Cameron, M."
ANT,ANT200Y1,Michael Chazan,"Chazan, M."
ANT,ANT348H1,Krista Maxwell,"Maxwell, K."
ANT,ANT346H1,Dylan Clark,"Clark, D."
ANT,ANT100Y1,Shawn Lehman,"Lehman, S."
ANT,ANT253H1,Marcel Danesi,"Danesi, M."
ANT,ANT434H1,Michelle Cameron,"Cameron, M."
ANT,ANT412H1,Craig Cipolla,"Cipolla, C."
ANT,ANT314H1,Gary Coupland,"Coupland, G."
